City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
13,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
14,Atuona,PF,78.17,clear sky,-9.8,-139.0333,Villa Enata
17,Dingle,PH,77.95,light rain,10.9995,122.6711,SEGAYA PROPERTY
28,Novo Aripuana,BR,86.79,few clouds,-5.1206,-60.3797,Hotel Ezequiel
34,Takoradi,GH,81.01,broken clouds,4.8845,-1.7554,Raybow International Hotel
35,Kuito,AO,75.72,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
40,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
42,Carutapera,BR,80.98,overcast clouds,-1.195,-46.02,Lidera
46,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Hilo,US,75.79,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Zelenogorskiy,RU,77.52,overcast clouds,55.0333,87.0,"Ooo Rts ""Renessans"""
58,Saint George,US,76.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
59,Mumford,GH,78.42,scattered clouds,5.2618,-0.759,Spanish Villa
67,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
73,Chiang Kham,TH,80.06,overcast clouds,19.5233,100.3,Rico Resort
77,Lata,PT,79.48,broken clouds,40.1629,-8.3327,Casa Maquia
78,Namibe,AO,78.06,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
86,Shimoda,JP,80.71,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
90,Jimeta,NG,87.62,overcast clouds,9.2833,12.4667,Yola International Hotel
92,Butaritari,KI,82.24,light rain,3.0707,172.7902,Isles Sunset Lodge
93,Cabo San Lucas,MX,82.81,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
95,Kushmurun,KZ,79.5,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
97,Ribeira Brava,PT,81.72,clear sky,32.65,-17.0667,Hotel do Campo
100,Zhangjiakou,CN,75.74,light rain,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
101,Tura,IN,77.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
106,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
110,Moberly,US,77.02,scattered clouds,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
115,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
116,Belyy Yar,RU,78.69,clear sky,53.6039,91.3903,Pasportnyy Stol
125,Bereda,ES,77.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
126,Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
129,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
137,Oranjemund,,76.46,overcast clouds,-28.55,16.4333,The Fisherman's Cove
139,Jogbani,IN,85.48,overcast clouds,26.4167,87.25,Hotel Eastern Star
143,Taveta,KE,81.73,clear sky,-3.3963,37.6736,Challa Hotel
