City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,45.81,61,4,17.56,clear sky
1,Butaritari,KI,3.0707,172.7902,81.61,72,100,4.5,overcast clouds
2,Darhan,MN,49.4867,105.9228,72.88,58,60,4.54,broken clouds
3,Manokwari,ID,-0.8667,134.0833,84.42,71,95,8.63,overcast clouds
4,Nataga,CO,2.5436,-75.8085,58.1,93,19,4.05,few clouds
5,Hobart,AU,-42.8794,147.3294,57.25,56,75,4.0,broken clouds
6,Zlobin,HR,45.2924,14.6541,66.16,76,0,0.0,clear sky
7,Korhogo,CI,9.45,-5.6333,70.09,92,99,7.47,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,52.48,85,83,1.77,broken clouds
9,Carnarvon,AU,-24.8667,113.6333,71.67,54,90,9.22,overcast clouds
10,Inhambane,MZ,-23.865,35.3833,64.06,65,0,4.05,clear sky
11,Yamada,JP,39.4667,141.95,73.89,90,100,14.47,overcast clouds
12,Provideniya,RU,64.3833,-173.3,51.91,82,90,17.9,light intensity shower rain
13,Glendive,US,47.1053,-104.7125,88.48,39,1,8.05,clear sky
14,Port Elizabeth,ZA,-33.918,25.5701,55.09,80,22,13.33,few clouds
15,Cape Town,ZA,-33.9258,18.4232,51.12,89,100,1.01,overcast clouds
16,Storsteinnes,NO,69.2408,19.2344,54.25,77,4,2.26,clear sky
17,Kijang,KR,35.2442,129.2139,83.01,73,24,9.06,few clouds
18,Ribeira Grande,PT,38.5167,-28.7,71.89,85,59,8.72,broken clouds
19,Ushuaia,AR,-54.8,-68.3,38.34,96,100,4.03,overcast clouds
20,Umm Lajj,SA,25.0213,37.2685,86.85,69,77,8.99,broken clouds
21,Lebu,CL,-37.6167,-73.65,44.2,82,0,17.94,clear sky
22,Yellowknife,CA,62.456,-114.3525,59.56,51,67,1.01,broken clouds
23,Amravati,IN,20.9333,77.75,80.01,69,100,16.13,overcast clouds
24,Atuona,PF,-9.8,-139.0333,77.95,70,4,18.03,clear sky
25,Rikitea,PF,-23.1203,-134.9692,74.52,79,100,14.63,overcast clouds
26,Luderitz,NA,-26.6481,15.1594,54.27,73,0,10.96,clear sky
27,Bintulu,MY,3.1667,113.0333,88.05,62,51,4.09,broken clouds
28,Cumanayagua,CU,22.1494,-80.2022,77.41,91,42,4.5,scattered clouds
29,San Patricio,US,28.017,-97.5169,84.83,70,15,7.36,few clouds
30,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,18.41,scattered clouds
31,Koszalin,PL,54.1944,16.1722,63.68,87,86,6.55,overcast clouds
32,Georgetown,MY,5.4112,100.3354,89.53,66,20,4.61,few clouds
33,Russell,US,32.3502,-85.1999,75.51,76,60,2.35,broken clouds
34,Weyburn,CA,49.6668,-103.8511,77.18,38,60,4.23,broken clouds
35,Avarua,CK,-21.2078,-159.775,77.05,65,16,3.44,few clouds
36,Souillac,MU,-20.5167,57.5167,68.36,94,100,20.4,moderate rain
37,Tuktoyaktuk,CA,69.4541,-133.0374,45.21,91,100,10.22,light rain
38,Tura,IN,25.5198,90.2201,82.74,80,97,5.66,overcast clouds
39,Albany,US,42.6001,-73.9662,67.08,94,89,3.15,overcast clouds
40,Olinda,BR,-8.0089,-34.8553,74.93,83,75,5.75,broken clouds
41,New Norfolk,AU,-42.7826,147.0587,56.91,59,47,5.01,light rain
42,Hithadhoo,MV,-0.6,73.0833,81.05,77,69,9.24,broken clouds
43,Qaanaaq,GL,77.484,-69.3632,42.3,91,98,5.37,overcast clouds
44,Orlik,RU,52.5178,99.825,70.88,55,71,2.55,light rain
45,Tuatapere,NZ,-46.1333,167.6833,52.83,74,65,1.79,broken clouds
46,Severo-Kurilsk,RU,50.6789,156.125,59.11,89,100,6.44,overcast clouds
47,Pochutla,MX,15.7432,-96.4661,77.83,92,97,3.62,overcast clouds
48,Jamestown,US,42.097,-79.2353,67.71,88,75,2.62,broken clouds
49,Vaini,TO,-21.2,-175.2,69.96,73,75,11.5,broken clouds
50,Oktyabrskoye,RU,43.0645,44.7417,55.54,100,100,2.24,overcast clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,71.24,85,19,9.4,few clouds
52,Punta Arenas,CL,-53.15,-70.9167,44.71,87,75,18.41,broken clouds
53,Caravelas,BR,-17.7125,-39.2481,70.11,91,10,5.79,clear sky
54,Sorong,ID,-0.8833,131.25,86.23,67,100,3.36,overcast clouds
55,Plyussa,RU,58.4308,29.3654,63.84,92,100,6.53,overcast clouds
56,Busselton,AU,-33.65,115.3333,58.05,69,54,19.71,broken clouds
57,Coihaique,CL,-45.5752,-72.0662,31.95,93,0,2.3,clear sky
58,Antofagasta,CL,-23.65,-70.4,54.68,72,27,6.17,scattered clouds
59,Barrow,US,71.2906,-156.7887,41.02,92,90,18.41,fog
60,Khatanga,RU,71.9667,102.5,87.49,35,9,18.14,clear sky
61,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,90,12,7.52,few clouds
62,Bani,DO,18.2833,-70.3333,78.75,80,26,10.07,scattered clouds
63,Port Alfred,ZA,-33.5906,26.891,59.56,84,8,14.18,clear sky
64,Kodiak,US,57.79,-152.4072,60.31,63,90,10.36,overcast clouds
65,Ancud,CL,-41.8697,-73.8203,40.53,87,71,3.85,broken clouds
66,Karema,TZ,-6.8205,30.4389,64.56,51,17,9.08,few clouds
67,Kudahuvadhoo,MV,2.6708,72.8944,80.65,77,100,7.34,overcast clouds
68,Tiksi,RU,71.6872,128.8694,41.79,79,12,14.34,few clouds
69,Zima,RU,53.9202,102.0442,77.07,43,44,7.61,scattered clouds
70,Shumyachi,RU,53.8583,32.4242,61.99,96,100,7.81,moderate rain
71,Sechura,PE,-5.5569,-80.8222,68.79,80,62,12.24,broken clouds
72,Inuvik,CA,68.3499,-133.7218,57.65,82,100,1.23,overcast clouds
73,Qaqortoq,GL,60.7167,-46.0333,45.1,81,100,2.21,overcast clouds
74,Barra,BR,-11.0894,-43.1417,72.27,64,2,8.34,clear sky
75,Anadyr,RU,64.75,177.4833,50.5,93,75,21.99,moderate rain
76,Havelock,US,34.8791,-76.9013,82.94,92,77,5.5,broken clouds
77,Hermanus,ZA,-34.4187,19.2345,50.9,65,99,11.36,overcast clouds
78,Sembakung,ID,3.8167,117.25,93.83,52,96,2.44,overcast clouds
79,Severomuysk,RU,56.1481,113.4267,68.7,38,44,4.0,scattered clouds
80,Patur,IN,20.45,76.9333,79.65,71,100,15.99,overcast clouds
81,Agutaya,PH,11.148,120.9417,83.97,79,75,19.39,broken clouds
82,Marsa Matruh,EG,31.3525,27.2453,77.61,73,0,9.55,clear sky
83,Wattegama,LK,6.7989,81.4808,90.07,46,100,7.52,overcast clouds
84,Yumen,CN,40.2833,97.2,88.02,13,0,8.46,clear sky
85,Hilo,US,19.7297,-155.09,78.53,85,75,9.22,light rain
86,Torbay,CA,47.6666,-52.7314,65.68,96,100,10.87,overcast clouds
87,Mahebourg,MU,-20.4081,57.7,68.25,91,100,21.88,moderate rain
88,Nikolskoye,RU,59.7035,30.7861,68.79,66,100,4.79,overcast clouds
89,Mount Gambier,AU,-37.8333,140.7667,49.91,81,75,17.27,light intensity shower rain
90,Itarema,BR,-2.9248,-39.9167,77.31,84,19,13.44,few clouds
91,Klaksvik,FO,62.2266,-6.589,50.92,95,100,4.81,overcast clouds
92,Okhotsk,RU,59.3833,143.3,62.67,79,57,13.09,broken clouds
93,Nago,JP,26.5881,127.9761,91.83,83,94,13.11,overcast clouds
94,Torata,PE,-17.0769,-70.8433,54.12,40,0,0.56,clear sky
95,Nkoteng,CM,4.5167,12.0333,67.17,91,100,5.06,overcast clouds
96,Constitucion,CL,-35.3333,-72.4167,44.22,79,0,6.4,clear sky
97,Guerrero Negro,MX,27.9769,-114.0611,70.14,83,5,15.55,clear sky
98,Mount Pleasant,US,32.7941,-79.8626,82.99,89,90,3.0,overcast clouds
99,Tasiilaq,GL,65.6145,-37.6368,33.96,78,22,7.2,few clouds
100,Ovalle,CL,-30.5983,-71.2003,52.29,51,0,0.67,clear sky
101,Luau,AO,-10.7073,22.2247,52.61,47,99,3.18,overcast clouds
102,Eydhafushi,MV,5.1033,73.0708,82.87,75,99,13.8,overcast clouds
103,Velsk,RU,61.0701,42.0983,55.87,54,29,1.19,scattered clouds
104,Singaparna,ID,-7.3515,108.111,79.16,68,54,5.53,broken clouds
105,Nanortalik,GL,60.1432,-45.2371,43.63,85,100,3.53,overcast clouds
106,Broken Hill,AU,-31.95,141.4333,62.91,31,0,24.87,clear sky
107,Imeni Poliny Osipenko,RU,52.4201,136.4853,79.86,67,100,5.03,overcast clouds
108,Saint-Philippe,RE,-21.3585,55.7679,67.59,90,90,17.4,light rain
109,Ponta Do Sol,PT,32.6667,-17.1,72.23,78,4,4.0,clear sky
110,Bluff,NZ,-46.6,168.3333,52.81,72,36,3.06,scattered clouds
111,Flinders,AU,-34.5833,150.8552,72.18,43,74,7.0,broken clouds
112,Aykhal,RU,66.0,111.5,85.53,31,40,6.6,scattered clouds
113,Kapaa,US,22.0752,-159.319,84.18,71,40,4.0,light rain
114,Rio Gallegos,AR,-51.6226,-69.2181,42.39,83,95,16.78,overcast clouds
115,Hattiesburg,US,31.3271,-89.2903,82.33,89,1,6.91,clear sky
116,Salalah,OM,17.0151,54.0924,76.96,93,100,12.21,overcast clouds
117,Sola,VU,-13.8833,167.55,78.96,80,42,21.39,scattered clouds
118,Dikson,RU,73.5069,80.5464,37.4,99,100,12.53,overcast clouds
119,East London,ZA,-33.0153,27.9116,62.92,79,1,10.8,clear sky
120,Chokurdakh,RU,70.6333,147.9167,50.97,44,44,15.05,scattered clouds
121,Kutum,SD,14.2,24.6667,68.81,83,100,9.55,overcast clouds
122,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,43.47,73,43,15.46,scattered clouds
123,Caucasia,CO,7.9865,-75.1935,73.08,95,100,4.07,overcast clouds
124,Laguna,US,38.421,-121.4238,87.44,40,1,4.0,clear sky
125,Bandar-E Lengeh,IR,26.5579,54.8807,92.61,64,50,2.89,scattered clouds
126,Yakeshi,CN,49.2833,120.7333,74.26,62,37,12.03,scattered clouds
127,Gasa,PS,31.5,34.4667,78.78,71,0,1.92,clear sky
128,Kahului,US,20.8947,-156.47,80.62,78,40,20.71,scattered clouds
129,Fortuna,US,40.5982,-124.1573,68.18,93,40,0.0,scattered clouds
130,La Asuncion,VE,11.0333,-63.8628,77.0,90,15,9.89,few clouds
131,Katsuura,JP,35.1333,140.3,87.91,73,100,18.1,overcast clouds
132,Pabbi,PK,34.0106,71.7989,84.88,63,73,4.76,broken clouds
133,Hasaki,JP,35.7333,140.8333,90.28,77,100,22.3,overcast clouds
134,Mehamn,NO,71.0357,27.8492,46.35,93,90,2.3,light intensity drizzle
135,Rizhao,CN,35.4275,119.4553,77.61,89,100,20.58,light rain
136,Wanaka,NZ,-44.7,169.15,49.53,80,78,3.83,broken clouds
137,Tongzi,CN,28.7829,105.0877,89.49,59,7,1.28,clear sky
138,Tecoanapa,MX,16.5167,-98.75,80.89,73,97,2.24,overcast clouds
139,Vestmannaeyjar,IS,63.4427,-20.2734,52.9,84,33,1.77,scattered clouds
140,Broome,US,42.2506,-75.833,66.58,97,90,1.01,mist
